Date,open,high,low,close,adjclose,volume,ticker
2023-10-25,3949.0,4020.25,3895.300048828125,3930.5,3911.189208984375,261645.0,ABB.NS
2023-10-26,3930.0,3995.35009765625,3850.0,3958.25,3938.80322265625,302100.0,ABB.NS
2023-10-27,3989.949951171875,4085.5,3969.050048828125,4008.5,3988.805908203125,262816.0,ABB.NS
2023-10-30,4036.60009765625,4101.0,3990.550048828125,4070.199951171875,4050.202880859375,114014.0,ABB.NS
2023-10-31,4099.0,4125.0,4028.85009765625,4109.2998046875,4089.110595703125,205697.0,ABB.NS
2023-11-01,4120.0,4147.0,4044.89990234375,4055.0,4035.07763671875,187184.0,ABB.NS
2023-11-02,4089.699951171875,4112.7001953125,4067.550048828125,4076.949951171875,4056.919677734375,170196.0,ABB.NS
2023-11-03,4105.5,4180.0,4078.050048828125,4167.5,4147.02490234375,183990.0,ABB.NS
2023-11-06,4195.0,4223.5498046875,4141.2998046875,4203.7001953125,4183.04736328125,231433.0,ABB.NS
2023-11-07,4214.0,4233.14990234375,4173.0,4208.7998046875,4188.1220703125,122172.0,ABB.NS
2023-11-08,4239.0,4288.0,4218.0498046875,4275.5498046875,4254.5439453125,216669.0,ABB.NS
2023-11-09,4284.89990234375,4372.9501953125,4216.0,4310.5,4289.322265625,522498.0,ABB.NS
2023-11-10,4328.0,4382.9501953125,4223.0,4239.2998046875,4218.4716796875,640836.0,ABB.NS
2023-11-13,4235.89990234375,4307.85009765625,4202.5498046875,4262.75,4241.806640625,157036.0,ABB.NS
2023-11-15,4292.7001953125,4304.9501953125,4252.0,4258.7998046875,4237.8759765625,95758.0,ABB.NS
2023-11-16,4285.0,4286.89990234375,4210.0498046875,4232.75,4211.95458984375,130755.0,ABB.NS
2023-11-17,4242.0,4298.0,4215.75,4285.0498046875,4263.99755859375,121481.0,ABB.NS
2023-11-20,4316.0,4365.35009765625,4295.0,4347.0,4325.64306640625,243547.0,ABB.NS
2023-11-21,4393.9501953125,4429.89990234375,4335.0498046875,4345.2998046875,4323.951171875,345900.0,ABB.NS
2023-11-22,4360.10009765625,4375.64990234375,4220.2998046875,4234.39990234375,4213.59619140625,176385.0,ABB.NS
2023-11-23,4250.0,4279.9501953125,4220.0,4260.5498046875,4239.61767578125,82762.0,ABB.NS
2023-11-24,4265.0,4276.4501953125,4224.0,4262.35009765625,4241.4091796875,116246.0,ABB.NS
2023-11-28,4289.0,4289.0,4195.5498046875,4255.25,4234.34375,184551.0,ABB.NS
2023-11-29,4263.25,4274.2001953125,4231.64990234375,4244.0498046875,4223.19873046875,78223.0,ABB.NS
2023-11-30,4256.0,4465.0,4234.10009765625,4419.75,4398.03564453125,558962.0,ABB.NS
2023-12-01,4449.0,4449.0,4375.7998046875,4387.25,4365.6953125,150704.0,ABB.NS
2023-12-04,4419.75,4683.0,4419.10009765625,4630.75,4607.9990234375,798523.0,ABB.NS
2023-12-05,4662.7001953125,4865.0498046875,4591.64990234375,4846.60009765625,4822.78857421875,860640.0,ABB.NS
2023-12-06,4855.0,4885.4501953125,4721.75,4738.39990234375,4715.1201171875,248801.0,ABB.NS
2023-12-07,4750.0498046875,4790.25,4699.5498046875,4744.7998046875,4721.48828125,177991.0,ABB.NS
2023-12-08,4789.89990234375,4843.35009765625,4684.4501953125,4746.7998046875,4723.47900390625,231897.0,ABB.NS
2023-12-11,4778.0,4833.5,4760.0498046875,4786.85009765625,4763.33203125,148181.0,ABB.NS
2023-12-12,4798.10009765625,4819.75,4690.0498046875,4721.2998046875,4698.10400390625,201663.0,ABB.NS
2023-12-13,4730.9501953125,4777.2998046875,4675.0498046875,4767.35009765625,4743.92822265625,166968.0,ABB.NS
